idx.1,idx,idx.1,quote,people,educ_inst
2780,1643,2780,"'I just go straight back to my room,” said Skylar Kim, 19, a freshman at New York University studying calculus.'",['Skylar Kim'],New York University
2804,1660,2804,"'The question here is: Can we design a new monetary system here?” Andrew Levin, an economics professor at Dartmouth, said on a panel in New York on Friday.'",['Andrew Levin'],Dartmouth College
2834,1703,2834,"'It’s a bit of a disaster,” said Marilynn Johnson, a history professor at Boston College whose study abroad program in Venice was shut down.'",['Marilynn Johnson'],Boston College
2834,1704,2834,"'He’s a funny man, so it’s funny, but it’s sad we’re not there,” said Ayden Mallory, an N.Y.U. student who returned from Florence.'",['Ayden Mallory'],University of Florence
2844,1714,2844,"'They are trying very hard to fight both the diplomatic damage the virus has caused and the domestic damage this has done to Xi Jinping,” said Xiao Qiang, a researcher at the School of Information at the University of California, Berkeley, and editor of China Digital Times.\n'",['Xiao Qiang'],"University of California, Berkeley"
2844,1716,2844,"'The epidemic is a lost opportunity for China to rebuild some good will with America and other countries,” Susan L. Shirk, chairwoman of the 21st Century China Center at the University of California, San Diego, wrote in an email.\n'",['Susan L. Shirk'],"University of California, Berkeley"
2873,1734,2873,"'If nurses aren’t safe, then really our community isn’t safe,” said Jenny Managhebi, a clinical nurse at the University of California Davis Medical Center, where 24 nurses were asked to self-quarantine after a patient tested positive for the virus.'",['Jenny Managhebi'],"University of California, Davis"
2885,1741,2885,"'If the public perceives that issues regarding communicable diseases are influenced by political considerations, they will lose confidence in the information,” said Dr. William Schaffner, an infectious disease specialist at Vanderbilt University.'",['William Schaffner'],Vanderbilt University
2886,1743,2886,"'My general advice would be that people should try to reduce their stress over all, as opposed to obsessively worrying about what they touch,” said Stew Shankman, a professor of psychiatry and behavioral sciences at Northwestern University.'",['Stew Shankman'],Northwestern University
2893,1747,2893,"'It reinforces all the fears about open borders,” said Ian Goldin, a professor of globalization and development at Oxford University and an author of a 2014 book that anticipated a backlash to liberalism via a pandemic, “'",['Ian Goldin'],University of Oxford
2893,1748,2893,"'It costs to have a stock,” said Mr. Goldin, the Oxford expert.'",['Goldin'],University of Oxford
2941,1769,2941,"'People have to start being really considerate and not going out and about when they are infected with anything, whether it’s the flu or coronavirus,” said Dr. Robyn R. M. Gershon, a professor of epidemiology at New York University’s School of Global Public Health.\n'",['Robyn R. M. Gershon'],New York University
2945,1776,2945,"'It is fair to say that a large increase in exercise intensity and/or duration, especially in people new to exercise, might have transient negative effects on the immune system,” says Jeffrey Woods, a professor of kinesiology and community health at the University of Illinois in Urbana-Champaign, who studies exercise and immunity and led the mouse study.\n'",['Jeffrey Woods'],University of Illinois at Chicago
2945,1777,2945,"'our immune systems tells us that “there is no or limited reliable evidence for exercise directly increasing the chance of developing any kind of viral infection,” says James Turner, co-author of the 2018 review about exercise and immunity and also a professor of health science at the University of Bath.\n'",['James Turner'],University of Bath
2959,1785,2959,"'There has been a silent epidemic of Covid-19 in the United States that is not going to be silent any longer,” said Michael Osterholm, an epidemiologist at the University of Minnesota.\n'",['Michael Osterholm'],University of Minnesota
2981,1801,2981,"'The mantra is, ‘keep calm and carry on,’” said Dr. Marguerite Neill, an infectious disease expert at Brown University.\n'",['Marguerite Neill'],Brown University
3009,1832,3009,"'I haven’t even faced the voters once at a national level, so tomorrow will be the first day,” Mr. Bloomberg said, referring to the Super Tuesday contests on which he has placed an expensive bet.\n'",['Bloomberg'],Scuola Normale Superiore di Pisa
3009,1837,3009,"'Foreign actors continue to try to influence public sentiment and shape voter perceptions,” the officials, including Secretary of State Mike Pompeo, said in an unusual joint statement.'",['Mike Pompeo'],Pennsylvania State University
3053,1911,3053,"'The good news is that cases in children have been very rare,” said Dr. H. Cody Meissner, M.D., chief of the division of pediatric infectious disease at Tufts University School of Medicine.\n'",['H. Cody Meissner'],Tufts University
3087,1947,3087,"'They were driving everything, and the world was simply having to follow them,” said Robert Burgelman, a management professor at Stanford University, who has written about Intel and for decades taught a class with Dr. Grove.'","['Robert Burgelman', 'Grove']",Stanford University
3099,1985,3099,"'So the genetic findings suggest that the virus has been spreading through other people in the community for close to six weeks, according to one of the scientists who compared the sequences, Trevor Bedford, an associate professor at the Fred Hutchinson Cancer Research Center and the University of Washington.\n'",['Trevor Bedford'],University of Washington
3099,1986,3099,"'I think he’s right,” said Andrew Rambaut, professor of molecular evolution at the University of Edinburgh, referring to Dr. Bedford.'","['Bedford', 'Andrew Rambaut']",University of Edinburgh
3103,1999,3103,"'It’s very clear: When people don’t have access to sick leave, they go to work sick and spread diseases,” said Nicolas Ziebarth, an associate professor of economics at Cornell University, who was a co-author on both papers.\n'",['Nicolas Ziebarth'],Cornell University
3124,2032,3124,"'Because of these limited resources, we could not get some of our patients tested,” said Dr. William Schaffner, an infectious disease specialist at Vanderbilt University Medical Center in Nashville. \n'",['William Schaffner'],Vanderbilt University
3172,2081,3172,"'Typically, an outbreak becomes an epidemic when it becomes quite widespread in a particular country, sometimes in a particular region, like Zika,” Lawrence O. Gostin, a professor of global health law at Georgetown University, said on Tuesday.'",['Lawrence O. Gostin'],Georgetown University
3198,2104,3198,"'The obvious observation is that many countries are capable of testing rather widely,” said Dr. William Schaffner, an infectious disease specialist at Vanderbilt University Medical Center.'",['William Schaffner'],Vanderbilt University
3208,2125,3208,"'Daniel Challender, a researcher at the University of Oxford who has studied the pangolin trade, said the new decision made clear that China was “going to clamp down on pangolin meat.'",['Daniel Challender'],University of Oxford
3220,2149,3220,"'All his public health policies in Indiana were more about his beliefs or ideology, and not evidence based or around data,” said Carrie Ann Lawrence, associate director of the Rural Center for AIDS/STD Prevention at Indiana University.\n\n\n'",['Carrie Ann Lawrence'],Indiana University
3272,2199,3272,"'This implies we may need many more tests that can be used out in the field, at the point of care,” said Dr. Judith N. Wasserheit, co-director of the University of Washington MetaCenter for Pandemic Preparedness and Global Health Security.'",['Judith N. Wasserheit'],University of Washington
3275,2205,3275,"'Companies probably have these plans in the vault someplace, and they’re probably not all that different than they were 20 years ago,” said Peter Cappelli, a management professor and expert on human resources at the Wharton School of Business at the University of Pennsylvania.'",['Peter Cappelli'],University of Pennsylvania
3311,2223,3311,"'This is a new one in terms of claiming a right not to have infectious disease introduced into your community,” said Polly Price, a professor of law and global public health at Emory University.'",['Polly Price'],Emory University
3312,2225,3312,"'We know that it was not only a decision for the Hong Kong government,” said Ivan Choy, a political science lecturer at the Chinese University of Hong Kong.'",['Ivan Choy'],Chinese University of Hong Kong
3327,2232,3327,"'The Chinese Communist Party leadership does not like to be criticized for neglecting or abandoning workers,” said Jane Duckett, the director of the Scottish Center for China Research at the University of Glasgow.'",['Jane Duckett'],University of Glasgow
3328,2234,3328,"'The O.E.C.D. process is hanging by a thread and the consequences of failure are underappreciated by European sovereigns,” said Itai Grinberg, an international tax policy professor at Georgetown University Law Center.\n'",['Itai Grinberg'],Georgetown University
3352,2245,3352,"'What we are worried about is sustained transmission in the community in countries outside China,” said Raina MacIntyre, head of the biosecurity program at the Kirby Institute of the University of New South Wales in Sydney.\n'",['Raina MacIntyre'],University of New South Wales
3359,2248,3359,"'No one knows the full scope of wildlife trade worldwide, but the numbers are staggering — on the order of millions of animals of hundreds of species trafficked each day, according to Vincent Nijman, a wildlife trade researcher at Oxford Brookes University in England.\n\n\n'","['England.\\n\\n\\n', 'Vincent Nijman']",University of Oxford
3359,2254,3359,"'Once a disease jumps into humans, all the responses are reactive and the focus is on human health,” said Dr. Alonso Aguirre, a wildlife ecologist at George Mason University.\n'",['Alonso Aguirre'],George Mason University
3359,2255,3359,"'Chinese citizens are “angry because they’ve learned that wildlife traded for food has once again caused a national health crisis, and because a small number of wildlife traders continue to hold the entire country hostage,” said Peter Li, an associate professor of East Asian politics at the University of Houston-Downtown who specializes in China’s domestic policies.\n'",['Peter Li'],University of Houston
3383,2269,3383,"'Are you O.K.,’” said Aretha Deng, 20, a junior at Arizona State University, “their reaction is an instant state of panic.'","['Aretha Deng', 'O.K.']",Arizona State University
3386,2274,3386,"'If there’s one passenger who is confirmed, the others are potentially in trouble,” said David Hui, director of the emerging infections disease center at the Chinese University of Hong Kong.'",['David Hui'],Chinese University of Hong Kong
3393,2276,3393,"'It can be quite haphazard,” said Zhou Xun, a historian of modern China at the University of Essex in England.'",['Zhou Xun'],University of Essex
3393,2277,3393,"'Public health relies on public trust,” said Alexandra L. Phelan, a specialist in global health law at Georgetown University.'",['Alexandra L. Phelan'],Georgetown University
3400,2279,3400,"'Believe me — at first I thought that we must go back because we could be infected by the virus,” said Mr. Bhatti, a 25-year-old civil engineering student at the Huazhong University of Science and Technology.'",['Bhatti'],Pohang University of Science and Technology
3401,2281,3401,"'Clearly it would have been useful for other parts of China who are beginning to struggle with this outbreak as well for the rest of the world to have these types of data as soon as possible,” said Malik Peiris, a virologist at the University of Hong Kong.\n'",['Malik Peiris'],University of Hong Kong
3402,2285,3402,"'At the end of January, Secretary of State Mike Pompeo called the ruling party in China the “the central threat of our times.'",['Mike Pompeo'],Pennsylvania State University
3408,2287,3408,"'North Korea is under increasing stress because of the coronavirus outbreak in China,” said  Leif-Eric Easley, a professor in the international studies division at Ewha Womans University in Seoul.'",['Leif-Eric Easley'],Ewha Womans University
3415,2290,3415,"'This hits all the hot buttons that lead to heightened risk perception,” said Paul Slovic, a University of Oregon psychologist who helped pioneer modern risk psychology.\n'",['Paul Slovic'],University of Toronto
3424,2296,3424,"'I think it could help to reduce environmental contamination with coronavirus, but we have not yet seen evidence that coronavirus has been spreading through the environment,” said Benjamin Cowling, a professor at the School of Public Health at the University of Hong Kong.\n'",['Benjamin Cowling'],University of Hong Kong
3431,2302,3431,"'It’s funny because it really came out of the blue for a lot of us,” said Ms. Trombly, a sophomore at Duke Kunshan University, a new academic partnership between Duke and Wuhan University in China.\n'",['Trombly'],Wuhan University
3434,2305,3434,"'The simplest test, a nasopharyngeal swab, “is not surgery, but it comes close,” said Dr. William Schaffner, a professor of preventive medicine and infectious diseases at Vanderbilt University Medical Center in Nashville.'",['William Schaffner'],Vanderbilt University
3434,2308,3434,"'Probably it’s a tiny portion of our problem in Japan,” said Hitoshi Oshitani, a professor of virology at Tohoku University.'",['Hitoshi Oshitani'],Tohoku University
3445,2330,3445,"'David DeSteno, a professor of psychology at Northeastern University and a visiting fellow at Harvard’s Center for Public Leadership, is the author of “Emotional Success: The Power of Gratitude, Compassion, and Pride.”\n'",['David DeSteno'],Northeastern University
3446,2331,3446,"'There is also some concern about misinformation being spread through memes and other social media:\nParents should also remind their children that “memes could be made by anyone, including foreign governments and those who want to spread rumors and dissension in society,” said Andrew Selepak, a media professor at the University of Florida.'",['Andrew Selepak'],University of Florida
3453,2335,3453,"'The Chinese economy, combined with the Chinese population, have experienced so much growth that you are looking at putting large numbers of people in close contact with large numbers of animals in a confined space,” said Sean Beckmann, a disease ecologist and biology professor at Stetson University in Leland, Fla.\n\n\n'",['Sean Beckmann'],Aston University
3453,2336,3453,"'You want to have doctors who are empowered and encouraged,” said Dr. Amesh Adalja, a senior scholar at Johns Hopkins University.'",['Amesh Adalja'],Johns Hopkins University
3469,2345,3469,"'If it’s a pandemic, it’s going to stretch our resources very thin,” said Nicole Errett, a researcher at the University of Washington School of Public Health.'",['Nicole Errett'],University of Washington
3475,2356,3475,"'We’ve been double-hit by social unrest and a government that is just disappointing,” said Paul Yip, a professor and director at Hong Kong University.'",['Paul Yip'],University of Hong Kong
3477,2359,3477,"'Someone is going to have to weigh both the public health consequences of requiring hundreds of people to be in quarantine and the political consequences,” said Timothy Brewer, professor at the schools of medicine and public health at University of California Los Angeles.'",['Timothy Brewer'],"University of California, Los Angeles"
3477,2360,3477,"'The high ratio might suggest they were very good at first assuming who was most exposed,” said Karen Eggleston, director of the Asia health policy program at the Shorenstein Asia-Pacific Research Center at Stanford University.'",['Karen Eggleston'],Stanford University
3490,2369,3490,"'I think it is the correct approach,” said Cheng Yung-chi, a professor of pharmacology at Yale University School of Medicine.'",['Cheng Yung-chi'],Yale University
3505,2372,3505,"'It’s certainly true that children can be either asymptomatically infected or have very mild infection,” said Dr. Raina MacIntyre, an epidemiologist at the University of New South Wales in Sydney, Australia, who has been studying the spread of the new coronavirus.\n\n\n'",['Raina MacIntyre'],University of New South Wales
3505,2373,3505,"'My strong, educated guess is that younger people are getting infected, but they get the relatively milder disease,” said Dr. Malik Peiris, chief of virology at the University of Hong Kong, who has developed a diagnostic test for the new coronavirus.\n'",['Malik Peiris'],University of Hong Kong
3508,2377,3508,"'Speaking at an event at George Washington University on Tuesday, Janet L. Yellen, the former Federal Reserve chair, said that the bilateral trade deficit between the United States and China was “not the proper focus.'",['Janet L. Yellen'],George Washington University
3525,2389,3525,"'The biggest problem in Wuhan is that nobody is buying a car,” said Ferdinand Dudenhöffer, a professor at the University of Duisburg-Essen who follows the auto industry.'",['Ferdinand Dudenhöffer'],University of Duisburg-Essen
3570,2419,3570,"'It does mean that transmission is more readily achieved than it was in SARS,” an earlier coronavirus disease, said Dr. William Schaffner, an infectious disease specialist at Vanderbilt University Medical Center.'",['William Schaffner'],Vanderbilt University
3573,2422,3573,"'When I compare this to what I experienced as an emergency physician during SARS, this is a different situation and a better situation,” Dr. Daniel Kollek, a professor of emergency medicine at McMaster University in Hamilton told me.'","['Daniel Kollek', 'Hamilton']",McMaster University
3578,2424,3578,"'This virus has sent off some panic bells for me,” said Sarah Linck, 22, a junior at Arizona State, in Tempe.'",['Sarah Linck'],Arizona State University
3580,2425,3580,"'Racism feeds on fear and anxiety,” said Tim Soutphommasane, a former race-discrimination commissioner and now a professor at the University of Sydney.'",['Tim Soutphommasane'],University of Sydney
3583,2428,3583,"'These reports are concerning, if they stand up to scrutiny, which they certainly sound credible,” said Dr. Arthur Reingold, a professor of epidemiology at the University of California, Berkeley.\n'",['Arthur Reingold'],"University of California, Berkeley"
3604,2437,3604,"'I worked through the 2009 H1N1 flu epidemic at Yale Hospital, and we ran out of N-95 masks — and being in a high-risk situation without enough masks is not a good feeling,” said Dr. Peter Rabinowitz, co-director of the University of Washington MetaCenter for Pandemic Preparedness and Global Health Security in Seattle.\n'",['Peter Rabinowitz'],University of Washington
3619,2452,3619,"'There has never been a good antiviral agent, so that means that people would try things that have some effect,” said Dominic Dwyer, a medical virologist at the University of Sydney.'",['Dominic Dwyer'],University of Sydney
3639,2459,3639,"'That’s why you never really hear about problems emerging on a local scale in China,” said John Yasuda, who studies China’s approach to health crises at Indiana University.'",['John Yasuda'],Indiana University
3654,2474,3654,"'— is “way too low to start wearing a face mask,” said Dr. Peter Rabinowitz, who is co-director of the University of Washington MetaCenter for Pandemic Preparedness and Global Health Security.\n'",['Peter Rabinowitz'],University of Washington
3655,2475,3655,"'The horse is already out of the barn,” said Dr. W. Ian Lipkin, an epidemiologist at the Mailman School of Public Health at Columbia University, who had assisted the Chinese authorities in the response to SARS.\n\n\n'","['W. Ian Lipkin', 'SARS.\\n\\n\\n']",Columbia University
3655,2476,3655,"'The top priority will be to keep coverage from asking more probing questions about how China’s institutions have responded, questions that might lead to criticism of the government,” said David Bandurski, co-director of the China Media Project, a group affiliated with the University of Hong Kong.\n'",['David Bandurski'],University of Hong Kong
3655,2477,3655,"'Dali Yang, a professor of political science at the University of Chicago, said that while the current response has benefited from China’s improved technical capabilities since the SARS crisis, “what I find astounding was how the Wuhan authorities consistently downplayed the seriousness of the situation.'",['Dali Yang'],University of Chicago
3659,2481,3659,"'When we get a new infectious disease, we learn about the most severe cases first, the top of the pyramid, as it were,” said Dr. William Schaffner, professor of preventive medicine and infectious diseases at Vanderbilt University Medical Center.'",['William Schaffner'],Vanderbilt University
3661,2483,3661,"'I think there is a general sense that we need to go back and revisit public health emergencies and what they mean,” said Michael Osterholm, an epidemiologist at the University of Minnesota.'",['Michael Osterholm'],University of Minnesota
3670,2486,3670,"'A milder illness has the potential to spread farther and cause longer-lasting outbreaks than one with more obvious symptoms, according to Dr. Mark R. Denison, an infectious disease specialist at the Vanderbilt University School of Medicine who studies coronaviruses.\n'",['Mark R. Denison'],Vanderbilt University
3670,2487,3670,"'Now that you have a cluster of 14 health care workers infected, it suggests that the potential for spread is much greater,” said Dr. Ian W. Lipkin, director of the Center for Infection and Immunity at Columbia University’s Mailman School of Public Health in New York, who has researched SARS and MERS.\n'",['Ian W. Lipkin'],Columbia University
3681,2494,3681,"'There are now sufficient cases that it’s not going to die out by chance,” said Neil Ferguson, a public health expert at Imperial College London who has studied the new virus.'",['Neil Ferguson'],Imperial College London
3683,2498,3683,"'If you cannot find the source and control the source of the virus, you cannot extinguish the fire,” said David Hui, the director of the Stanley Ho Center for Emerging Infectious Diseases at the Chinese University of Hong Kong.\n'",['David Hui'],Chinese University of Hong Kong
3688,2501,3688,"'We can assume that this virus transmissibility is not that high,” said Guan Yi, a professor of infectious diseases at the University of Hong Kong, who was part of a team that successfully identified the coronavirus that caused SARS.\n'",['Guan Yi'],University of Hong Kong
3688,2502,3688,"'So, there are still a lot of question marks,” said David Hui, an expert in emerging infections at the Chinese University of Hong Kong.\n'",['David Hui'],Chinese University of Hong Kong
3714,2521,3714,"'I’m tired of coming out here,” said Devean Moon, a 21-year-old Columbia resident, one of hundreds who participated in the peaceful protests in the city.'",['Devean Moon'],Columbia University
3715,2522,3715,"'There are no words to describe what people are going through,” said State Representative Mohamud Noor, who represents a district with many Somalis and other immigrants.'",['Mohamud Noor'],Pennsylvania State University
3716,2524,3716,"'There is a line of argument that the kids are not to be blamed, but we will not help them because there will be a mother and potentially a father who will come out of the woods and insist to be joined with the kids,” said Tyge Trier, a human rights lawyer in Copenhagen who disagrees with the policy and is working to bring Danish children home.\n\n\n'",['Tyge Trier'],University of Copenhagen
3740,2540,3740,"'It really is about whether or not Twitter blinks,” said James Grimmelmann, a law professor at Cornell University.'",['James Grimmelmann'],Cornell University
3746,2543,3746,"'You do not want to have them visibly lining the streets in a protest about police violence, but you should certainly have your resources nearby ready to deploy,” said Seth W. Stoughton, a former police officer who studies policing and is a professor at the University of South Carolina School of Law.\n\n\n'",['Seth W. Stoughton'],University of South Carolina
3759,2555,3759,"'Individual actions “may seem small or mundane,” said Keiji Fukuda, an epidemiologist who directs the School of Public Health at the University of Hong Kong.'",['Keiji Fukuda'],University of Hong Kong
3760,2556,3760,"'It’s not just Renault,” said Peter Wells, director of the Center for Automotive Industry Research at Cardiff University in Wales.'",['Peter Wells'],Cardiff University
3767,2561,3767,"'We felt called to do what we could,” Mr. Powell said Friday during a Princeton University webinar.\n'",['Powell'],Princeton University
3782,2572,3782,"'The city is in distress,” said Michael Gianaris, a Democratic state senator from Queens who serves as deputy majority leader.'",['Michael Gianaris'],The University of Queensland
3806,2584,3806,"'We were working with governments at the policy level,” said Felix Brooks-church, an American based in Dar es Salaam who co-founded Sanku (with Dave Dodson, a Stanford University lecturer, who is also a Fox News commentator and a former Republican candidate in Wyoming for the U.S. Senate).'","['Felix Brooks-church', 'Dave Dodson']",Stanford University
3821,2603,3821,"'The legislation clearly runs against the legal practice of European courts, as their relevant decisions are based on human rights fundamentalism, which tries to create basic rights from every and each human desire,” Mr. Szantho said, adding that definitions of sex, marriage and family remained in the hands of E.U. member states.\n\n\n'",['Szantho'],Yale University
3872,2638,3872,"'We already know people with underlying conditions are more vulnerable for complications with coronavirus,” said Shannon L. Delaney, a neuropsychiatrist and director of child and adolescent evaluation at Columbia University’s Lyme and Tick-Borne Diseases Research Center.'",['Shannon L. Delaney'],Columbia University
3880,2646,3880,"'Now we have 14.7 percent,” said Matthew Desmond, a sociologist at Princeton and the author of the book “Evicted,” who is leading an effort at the university’s Eviction Lab to track cases nationally.'",['Matthew Desmond'],Princeton University
3880,2648,3880,"'We sort of expect this to be more of a renter crisis than a homeownership crisis,” said Elora Lee Raymond, an assistant professor at the Georgia Institute of Technology who focuses on affordable housing and real estate.\n\n\n'",['Elora Lee Raymond'],Georgia Institute of Technology
3890,2653,3890,"'I’ve wondered why as a society we just accept that the majority of our adolescents will go to school every day tired,” said Rachel Widome, an author of the study and an associate professor at the University of Minnesota’s Division of Epidemiology and Community Health.\n\n\n'",['Rachel Widome'],University of Minnesota
3894,2654,3894,"'Allison Daminger, a sociologist and doctoral candidate studying the impact of societal inequality on family dynamics at Harvard, agrees that these formal systems “can be annoying or cumbersome.'",['Allison Daminger'],Harvard University
3923,2670,3923,"'Emily Oster, Ph.D., a professor of economics at Brown University and the author of “Cribsheet: A Data-Driven Guide to Better, More Relaxed Parenting, From Birth to Preschool,” said that couples should drill down and figure out “'",['Ph.D.'],Brown University
3931,2676,3931,"'You have 50 different governors doing 50 different things,” said Andrew Noymer, an associate professor of public health at the University of California, Irvine.'",['Andrew Noymer'],"University of California, Irvine"
3936,2681,3936,"'Chicago showed a marked drop in murders in 1918, when America faced the devastating Spanish flu, according to records analyzed by Leigh Bienen, a law professor at Northwestern University.'",['Leigh Bienen'],Northwestern University
3952,2699,3952,"'The Science of Well-Being” by Laurie Santos, a professor of psychology at Yale University.\n\n\n'",['Laurie Santos'],Yale University
3955,2701,3955,"'Boris Johnson is not much of a chess player,” said Tim Bale, professor of politics at Queen Mary, University of London.'",['Tim Bale'],Queen Mary University of London
3958,2704,3958,"'Together, the ships carry an estimated 1.5 million barrels of fuel, according to Francisco J. Monaldi, a Venezuelan oil expert at Rice University in Houston, citing information from the industry website tankertrackers.com.\n\n\n'",['Francisco J. Monaldi'],Rice University
3981,2721,3981,"'The South tends to have lost more papers, and have more counties without newspapers, than any other place,” Penny Abernathy, a professor of journalism at the University of North Carolina, told The New Yorker’s Charles Bethea earlier this year.\n\n\n'","['Penny Abernathy', 'Charles Bethea']",University of North Carolina at Chapel Hill
4010,2758,4010,"'I’m a huge fan of face shields,” said Saskia Popescu, a senior infection-prevention specialist at George Mason University in Fairfax,'",['Saskia Popescu'],George Mason University
4021,2768,4021,"'Religious conservatives are the most solid core of Trump’s voter base and he needs an especially strong turnout from that community in what appears to be an uphill run for re-election,” said Mark J. Rozell, the dean of the Schar School of Policy and Government at George Mason University and a longtime scholar on religion and politics.'",['Mark J. Rozell'],George Mason University
4035,2777,4035,"'They are like the ultimate P.P.E. — you can really seal yourself into them,” said Peter D. Norton, an associate professor at the University of Virginia in Charlottesville, Va., who studies the history of technology.\n\n\n'",['Peter D. Norton'],University of Virginia
4040,2780,4040,"'All three have large numbers of people in relatively small spaces, so it’s hard to do isolation,” said Dr. Sloane, a geriatrician who co-directs the Program on Aging, Disability and Long-Term Care at the University of North Carolina.'",['Sloane'],University of North Carolina at Chapel Hill
4040,2782,4040,"'It’s time to really focus on private rooms in nursing homes,” said Karl Pillemer, a gerontologist and researcher at Cornell University.'",['Karl Pillemer'],Cornell University
4044,2789,4044,"'According to Dr. Jon Grant, a professor of psychiatry at the University of Chicago who has studied B.F.R.B.s for twenty years, self-grooming is an act that connects humans to other creatures in the animal kingdom.'",['Jon Grant'],University of Chicago
4049,2793,4049,'Secretary of State Mike Pompeo wrote on Twitter that the comments were “disgusting and hateful anti-Semitic remarks” that did not represent the general view of Iranians.',['Mike Pompeo'],Pennsylvania State University
4050,2794,4050,"'The harder you push your lockdown, the more you get unintended consequences,” said Dr. Simon Thornley of Auckland University.'",['Simon Thornley'],University of Auckland
4062,2803,4062,"'It just doesn’t make any sense; all of us are really baffled,” said Natalie Dean, a biostatistician at the University of Florida.\n\n\n'",['Natalie Dean'],University of Florida
4066,2808,4066,"'Trump is replacing independent inspectors general with unqualified political allies, which is inconsistent with statutory requirements,” said Kathleen Clark, a law professor at Washington University in St. Louis who has written about the watchdog system.'",['Kathleen Clark'],University of Washington
4067,2811,4067,"'Treating 85 decibels as a safe level makes no sense at all,” said Rick Neitzel, Ph.D., an associate professor of environmental health sciences at the University of Michigan.\n\n\n'","['Rick Neitzel', 'Ph.D.']",University of Michigan
4069,2815,4069,"'You can use one test to rule out a big group of people, and that makes it cost-effective,” said Natalie Dean, an assistant professor of biostatistics at the University of Florida.\n\n\n'",['Natalie Dean'],University of Florida
4069,2817,4069,"'In a very low-risk area, “you can probably get away without it,” said Dr. Ashish Jha, a professor of global health at Harvard University.'",['Ashish Jha'],Harvard University
4072,2823,4072,"'In Britain, the price of power plunged into negative territory 66 times in April, more than twice as often as in any previous month in the last decade, according to Iain Chappell, senior lecturer in sustainable energy at Imperial College in London.'",['Iain Chappell'],Imperial College London
4073,2825,4073,"'In these people, “their immune systems will essentially rear up and blunt the effect of the vaccine,” said Dr. Kirsten Lyke, a vaccinologist at the University of Maryland who is leading another coronavirus vaccine trial.\n\n\n'",['Kirsten Lyke'],"University of Maryland, College Park"
4075,2828,4075,"'Of course, it is a valid move now, but what was right in February-March is also right in May-June,” said Bharat Pankhania, an expert in infectious diseases at the University of Exeter Medical School.'",['Bharat Pankhania'],University of Exeter
4075,2829,4075,"'It strikes me as being very late and very hard to enforce,” said Anand Menon, professor of European politics and foreign affairs at King’s College London, who noted that in New Zealand quarantine took place in managed facilities.\n\n\n'",['Anand Menon'],King’s College London
4079,2834,4079,"'The more he talks, the better off I am,” Mr. Biden told Charlamagne, in defense of being “MIA” in the media during the pandemic.)\n\n\n'",['Biden'],University of Miami
4086,2840,4086,"'You pick up a lot of subtle clues about how to behave in that profession, how to communicate like an engineer, how to work in teams like a nurse,” said Matthew Hora, an education professor at the University of Wisconsin who has studied internships.'",['Matthew Hora'],University of Wisconsin-Madison
4113,2859,4113,"'It’s a shame Long Island has to turn away city beachgoers to protect its residents and ensure safe beaches, but until the mayor gets his act together and makes his own beaches safe, that’s the only responsible move,” said State Senator Todd Kaminsky, a Democrat on Long Island who helped lead the charge for such restrictions.\n\n\n'",['Todd Kaminsky'],Pennsylvania State University
4128,2870,4128,"'This is the irony,” said Joanne Lipman, a distinguished fellow at Princeton University who has been a high-level editor at The Wall Street Journal, Condé Nast and Gannett.'","['Joanne Lipman', 'Condé Nast', 'Gannett']",Princeton University
4136,2878,4136,"'My grandmother was a one-of-a-kind person,” said Anika Pasilis, 20, a journalism student at the University of Arizona.'",['Anika Pasilis'],University of Arizona
4138,2881,4138,"'Dr. H. Michael Belmont, a professor of medicine at New York University, said his study had recruited 125 participants out of a capacity of 350, partly because of strict eligibility requirements, partly because cases in New York had decreased and partly because studies showing the drug’s ineffectiveness “reduced somewhat the enthusiasm.'",['H. Michael Belmont'],New York University
4139,2883,4139,"'Every once in a while you get the president of the United States popping up and screaming against vote-by-mail, but states and both political parties are organizing their people for it,” said Michael Waldman, the president of the Brennan Center for Justice at New York University.'",['Michael Waldman'],New York University
4139,2884,4139,"'Before 2018, Republicans loved mail balloting,” Michael McDonald, a University of Florida political science professor and elections expert, said this week.\n\n\n'",['Michael McDonald'],University of Florida
4142,2886,4142,"'Ben’s notion that his two-dimensional model is a fresh perspective simply is not true,” said Missy Cummings, director of Duke University’s Humans and Autonomy Laboratory, who said she relied on his human-interface ideas in her design classes.\n\n\n'",['Missy Cummings'],Duke University
4152,2892,4152,"'If you are obsessed with this pandemic, you need to find ways to distract yourself,” recommends Dr. Edna Foa, a professor in psychiatry at the University of Pennsylvania and one of the world’s leading experts in anxiety and trauma.'",['Edna Foa'],University of Pennsylvania
4152,2893,4152,"'For most of us, “the most common response to trauma is resilience,” said Dr. Denise Sloan, a professor in psychiatry at Boston University and associate director of the National Center for PTSD.'",['Denise Sloan'],Boston University
4153,2894,4153,"'I hate to say it, but this is going to take longer and look grimmer than we thought,” Nicholas Bloom, an economist at Stanford University, said of the path to recovery.\n\n\n'",['Nicholas Bloom'],Stanford University
4156,2900,4156,"'We are now reaping what we sowed for the last several decades,” said Dr. Geoffrey S. Baird, the interim chairman of Laboratory Medicine at the University of Washington School of Medicine, which operates one of the biggest academic clinical labs in the country.'",['Geoffrey S. Baird'],University of Washington
